No,Company,Symbol,Weight
471,Norwegian Cruise Line Holdings Ltd.,NCLH,0.024817
472,News Corporation Class A,NWSA,0.024799
473,Juniper Networks Inc.,JNPR,0.024742
474,Sealed Air Corporation,SEE,0.024715
475,Western Union Company,WU,0.024392
476,Globe Life Inc.,GL,0.024303
477,Zions Bancorporation N.A.,ZION,0.024296
478,Franklin Resources Inc.,BEN,0.023947
479,Pinnacle West Capital Corporation,PNW,0.023749
480,Campbell Soup Company,CPB,0.022865
481,Organon & Co.,OGN,0.022412
482,Huntington Ingalls Industries Inc.,HII,0.0221
483,Federal Realty Investment Trust,FRT,0.022072
484,Nielsen Holdings Plc,NLSN,0.021917
485,Rollins Inc.,ROL,0.021781
486,PVH Corp.,PVH,0.021488
487,Discovery Inc. Class C,DISCK,0.020973
488,Alaska Air Group Inc.,ALK,0.019242
489,Hanesbrands Inc.,HBI,0.019079
490,APA Corp.,APA,0.018911
491,People's United Financial Inc.,PBCT,0.018695
492,Vornado Realty Trust,VNO,0.01761
493,Leggett & Platt Incorporated,LEG,0.017453
494,Cabot Oil & Gas Corporation,COG,0.016997
495,Gap Inc.,GPS,0.016324
496,IPG Photonics Corporation,IPGP,0.01614
497,Ralph Lauren Corporation Class A,RL,0.015845
498,Unum Group,UNM,0.014737
499,Perrigo Co. Plc,PRGO,0.014537
500,NOV Inc.,NOV,0.013945
501,Fox Corporation Class B,FOX,0.013886
502,Under Armour Inc. Class A,UAA,0.012886
503,Discovery Inc. Class A,DISCA,0.012361
504,Under Armour Inc. Class C,UA,0.011365
505,News Corporation Class B,NWS,0.007529
